# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 15 06:53:30 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 42012 b,HD 42012,1,1,Radial Velocity,2017,0,857.50000000,6.20000000,-6.30000000,0,1.670000,0.050000,-0.060000,0,508.52800,31.78300,-31.78300,0,1.60000,0.10000,-0.10000,0,0.83,0.08,-0.08,0,36.7984000,0.0932000,-0.0927000,8.4400000,0.0300000,-0.0300000,8.2294900,0.0003090,-0.0003090
HD 4203 b,HD 4203,1,2,Radial Velocity,2001,0,431.88000000,0.85000000,-0.85000000,0,1.170000,0.020000,-0.020000,0,708.76090,66.74430,-66.74430,0,2.23000,0.21000,-0.21000,0,1.25,0.16,-0.16,0,81.3795000,0.3608000,-0.3577000,8.7000000,0.0300000,-0.0300000,8.5154500,0.0001630,-0.0001630
HD 4203 c,HD 4203,1,2,Radial Velocity,2014,0,6700.00000000,4500.00000000,-4500.00000000,0,6.950000,1.930000,-0.560000,0,689.66000,165.26000,-165.26000,0,2.17000,0.52000,-0.52000,0,0.99,0.12,-0.13,0,81.3795000,0.3608000,-0.3577000,8.7000000,0.0300000,-0.0300000,8.5154500,0.0001630,-0.0001630
HD 4208 b,HD 4208,1,1,Radial Velocity,2001,0,832.97000000,2.15000000,-1.89000000,0,1.662000,0.015000,-0.015000,0,257.44230,4.44962,-4.76745,0,0.81000,0.01400,-0.01500,0,0.88,0.02,-0.02,0,34.1937000,0.0681000,-0.0678000,7.7830000,0.0190000,-0.0190000,7.6106600,0.0002500,-0.0002500
HD 42618 b,HD 42618,1,1,Radial Velocity,2016,0,149.61000000,0.37000000,-0.34000000,0,0.554000,0.011000,-0.011000,0,14.40000,2.50000,-2.40000,0,0.04531,0.00787,-0.00755,0,1.01,0.06,-0.06,0,24.3358000,0.0249000,-0.0247000,6.8700000,0.0230000,-0.0230000,6.6830300,0.0003180,-0.0003180
HD 42813 b,HD 42813,1,3,Transit,2023,0,13.63082050,0.00000900,-0.00000900,0,0.111000,0.002000,-0.002000,0,9.10000,0.82000,-0.79000,0,0.02863,0.00258,-0.00249,0,0.90,0.04,-0.04,0,68.1920000,0.1772000,-0.1763000,9.4900000,0.0300000,-0.0300000,9.2746800,0.0002940,-0.0002940
HD 4308 b,HD 4308,1,1,Radial Velocity,2005,0,15.56000000,0.02000000,-0.02000000,0,0.120000,0.000000,0.000000,0,15.89150,0.00000,0.00000,0,0.05000,0.00000,0.00000,0,0.93,0.10,-0.10,0,22.0158000,0.0107000,-0.0107000,6.5500000,0.0300000,-0.0300000,6.3757800,0.0003427,-0.0003427
HD 4313 b,HD 4313,1,1,Radial Velocity,2009,0,356.21000000,0.88000000,-0.88000000,0,1.157000,0.097000,-0.097000,0,612.45841,28.60470,-28.60470,0,1.92700,0.09000,-0.09000,0,1.63,,,0,136.3080000,1.6455000,-1.6455000,7.8300000,0.0300000,-0.0300000,7.5739900,0.0002100,-0.0002100
HD 43197 b,HD 43197,1,2,Radial Velocity,2010,0,308.92072000,2.34087000,-2.83567000,0,0.882000,0.035000,-0.039000,0,175.75911,16.52708,-15.25576,0,0.55300,0.05200,-0.04800,0,0.96,0.12,-0.12,0,62.4112000,0.0918000,-0.0915000,8.9800000,0.0300000,-0.0300000,8.7715800,0.0002170,-0.0002170
HD 43197 c,HD 43197,1,2,Radial Velocity,2022,0,9295.97350000,4132.95252000,-2422.13527000,0,8.540000,2.334000,-1.584000,0,2500.67391,559.37800,-508.20762,0,7.86800,1.76000,-1.59900,0,0.96,0.12,-0.12,0,62.4112000,0.0918000,-0.0915000,8.9800000,0.0300000,-0.0300000,8.7715800,0.0002170,-0.0002170
HD 43691 b,HD 43691,3,1,Radial Velocity,2007,0,36.99870000,0.00110000,-0.00110000,0,0.238000,0.015000,-0.015000,0,810.46650,108.06220,-108.06220,0,2.55000,0.34000,-0.34000,0,1.32,0.25,-0.25,0,85.6009000,0.3684000,-0.3652000,8.0300000,0.0300000,-0.0300000,7.8972000,0.0003440,-0.0003440
HD 44219 b,HD 44219,1,1,Radial Velocity,2010,0,472.00000000,3.00000000,-4.00000000,0,1.260000,0.020000,-0.070000,0,184.34048,28.60456,-25.42627,0,0.58000,0.09000,-0.08000,0,1.20,0.06,-0.06,0,52.9051000,0.1804000,-0.1792000,7.6900000,0.0300000,-0.0300000,7.5297300,0.0003000,-0.0003000
HD 45184 b,HD 45184,1,2,Radial Velocity,2019,0,5.88540000,0.00030000,-0.00030000,0,0.064400,0.002000,-0.002100,0,12.19000,1.06000,-1.03000,0,0.03840,0.00330,-0.00320,0,1.03,,,0,21.9532000,0.0156000,-0.0155000,6.3830000,0.0050000,-0.0050000,6.2103700,0.0005004,-0.0005004
HD 45184 c,HD 45184,1,2,Radial Velocity,2019,0,13.13540000,0.00260000,-0.00250000,0,0.110000,0.003400,-0.003600,0,8.81000,1.09000,-1.02000,0,0.02770,0.00340,-0.00320,0,1.03,,,0,21.9532000,0.0156000,-0.0155000,6.3830000,0.0050000,-0.0050000,6.2103700,0.0005004,-0.0005004
HD 45350 b,HD 45350,1,1,Radial Velocity,2004,0,963.60000000,3.40000000,-3.40000000,0,1.920000,0.070000,-0.070000,0,568.89000,44.49000,-44.49000,0,1.79000,0.14000,-0.14000,0,0.98,0.11,-0.16,0,46.8733000,0.1680000,-0.1668000,7.8900000,0.0300000,-0.0300000,7.7000000,0.0003200,-0.0003200
HD 45364 b,HD 45364,1,2,Radial Velocity,2008,0,225.79000000,0.81000000,-0.76000000,0,0.679300,0.001600,-0.001500,0,60.16492,1.97054,-2.00232,0,0.18930,0.00620,-0.00630,0,0.82,0.05,-0.05,0,34.3540000,0.0376000,-0.0375000,8.0800000,0.0300000,-0.0300000,7.8801600,0.0002900,-0.0002900
HD 45364 c,HD 45364,1,2,Radial Velocity,2008,0,345.43000000,0.54000000,-0.57000000,0,0.902000,0.001000,-0.001000,0,174.48780,2.38371,-2.35193,0,0.54900,0.00750,-0.00740,0,0.82,0.05,-0.05,0,34.3540000,0.0376000,-0.0375000,8.0800000,0.0300000,-0.0300000,7.8801600,0.0002900,-0.0002900
HD 45652 b,HD 45652,1,1,Radial Velocity,2008,0,44.07300000,0.00480000,-0.00480000,0,0.237000,0.011000,-0.011000,0,137.62039,24.15508,-24.15508,0,0.43300,0.07600,-0.07600,0,0.92,0.13,-0.13,0,34.8541000,0.0676000,-0.0673000,8.1000000,0.0300000,-0.0300000,7.9118000,0.0003640,-0.0003640
HD 457 b,HD 457,1,1,Radial Velocity,2022,0,20324.58153000,11483.95545000,-7039.20037000,0,15.369000,5.561000,-3.797000,0,8445.33643,5952.29041,-3798.68512,0,26.57200,18.72800,-11.95200,0,1.15,0.15,-0.15,0,55.0375000,0.1324000,-0.1317000,7.7200000,0.0300000,-0.0300000,7.5779400,0.0003440,-0.0003440
HD 46375 b,HD 46375,2,1,Radial Velocity,2000,0,3.02357300,0.00006500,-0.00006500,0,0.039800,0.002300,-0.002300,0,71.80000,6.00000,-6.00000,0,0.22600,0.01900,-0.01900,0,0.92,,,0,29.5529000,0.0383000,-0.0383000,7.9100000,0.0300000,-0.0300000,7.6953300,0.0002840,-0.0002840
HD 47186 b,HD 47186,1,2,Radial Velocity,2008,0,4.08450000,0.00020000,-0.00020000,0,0.050000,0.000000,0.000000,0,22.24810,0.00000,0.00000,0,0.07000,0.00000,0.00000,0,0.96,0.05,-0.05,0,37.4574000,0.0463000,-0.0461000,7.6300000,0.0300000,-0.0300000,7.4489700,0.0001920,-0.0001920
HD 47186 c,HD 47186,1,2,Radial Velocity,2008,0,1353.60000000,57.10000000,-57.10000000,0,2.395000,,,0,111.42000,,,0,0.35061,,,0,0.96,0.05,-0.05,0,37.4574000,0.0463000,-0.0461000,7.6300000,0.0300000,-0.0300000,7.4489700,0.0001920,-0.0001920
HD 4732 b,HD 4732,2,2,Radial Velocity,2012,0,371.74000000,0.72000000,-1.86000000,0,1.129000,0.001000,-0.004000,0,631.20722,49.58123,-48.94557,0,1.98600,0.15600,-0.15400,0,1.39,0.15,-0.17,0,54.7841000,0.1708000,-0.1708000,5.9000000,0.0300000,-0.0300000,5.6509000,0.0010995,-0.0010995
HD 4732 c,HD 4732,2,2,Radial Velocity,2012,0,3184.20000000,58.12000000,-57.60000000,0,4.725000,0.057000,-0.057000,0,1069.49259,36.86810,-85.49584,0,3.36500,0.11600,-0.26900,0,1.39,0.15,-0.17,0,54.7841000,0.1708000,-0.1708000,5.9000000,0.0300000,-0.0300000,5.6509000,0.0010995,-0.0010995
HD 47366 b,HD 47366,1,2,Radial Velocity,2016,0,360.08000000,0.27000000,-0.72000000,0,1.207000,0.001000,-0.002000,0,661.71874,31.46501,-35.91461,0,2.08200,0.09900,-0.11300,0,1.81,0.13,-0.13,0,84.3552000,0.4560000,-0.4560000,6.1115100,0.0230000,-0.0230000,5.8386900,0.0010590,-0.0010590
HD 47366 c,HD 47366,1,2,Radial Velocity,2016,0,677.53000000,1.29000000,-1.16000000,0,1.840000,0.002000,-0.002000,0,483.73484,22.88365,-22.24799,0,1.52200,0.07200,-0.07000,0,1.81,0.13,-0.13,0,84.3552000,0.4560000,-0.4560000,6.1115100,0.0230000,-0.0230000,5.8386900,0.0010590,-0.0010590
HD 47536 b,HD 47536,1,1,Radial Velocity,2002,0,712.13000000,0.31000000,-0.31000000,0,1.930000,0.320000,-0.320000,0,2330.00000,750.00000,-750.00000,0,7.32000,2.36000,-2.36000,0,2.10,0.95,-0.95,0,122.5360000,1.3035000,-1.3035000,5.2500000,0.0300000,-0.0300000,4.8800400,0.0033947,-0.0033947
HD 4760 b,HD 4760,1,1,Radial Velocity,2021,0,434.00000000,3.00000000,-3.00000000,0,1.140000,0.080000,-0.080000,0,4417.83700,762.79200,-762.79200,0,13.90000,2.40000,-2.40000,0,1.05,0.19,-0.19,0,537.8730000,20.1550000,-20.1550000,7.5100000,0.0300000,-0.0300000,6.9850400,0.0002770,-0.0002770
HD 48265 b,HD 48265,1,1,Radial Velocity,2008,0,778.51000000,5.38000000,-5.18000000,0,1.814000,0.030000,-0.031000,0,484.69075,15.57367,-15.89150,0,1.52500,0.04900,-0.05000,0,1.31,0.06,-0.06,0,90.5446000,0.2702000,-0.2687000,8.0500000,0.0300000,-0.0300000,7.8792500,0.0003030,-0.0003030
HD 48948 b,HD 48948,1,3,Radial Velocity,2024,0,7.34013000,0.00040000,-0.00040000,0,0.065200,0.000500,-0.000500,0,4.88000,0.21000,-0.21000,0,0.01535,0.00066,-0.00066,0,0.69,0.02,-0.01,0,16.9043000,0.0190000,-0.0189000,8.5800000,0.0010000,-0.0010000,8.1131100,0.0004050,-0.0004050
HD 48948 c,HD 48948,1,3,Radial Velocity,2024,0,38.06000000,0.06000000,-0.06000000,0,0.195100,0.001600,-0.001600,0,7.27000,0.70000,-0.70000,0,0.02287,0.00220,-0.00220,0,0.69,0.02,-0.01,0,16.9043000,0.0190000,-0.0189000,8.5800000,0.0010000,-0.0010000,8.1131100,0.0004050,-0.0004050
HD 48948 d,HD 48948,1,3,Radial Velocity,2024,0,151.92000000,0.44000000,-0.44000000,0,0.489400,0.004200,-0.004200,0,10.59000,1.00000,-1.00000,0,0.03332,0.00315,-0.00315,0,0.69,0.02,-0.01,0,16.9043000,0.0190000,-0.0189000,8.5800000,0.0010000,-0.0010000,8.1131100,0.0004050,-0.0004050
HD 4917 b,HD 4917,1,1,Radial Velocity,2018,0,400.50000000,1.70000000,-1.70000000,0,1.167000,0.065000,-0.065000,0,513.29545,29.24036,-29.24036,0,1.61500,0.09200,-0.09200,0,1.32,,,0,204.2770000,2.4745000,-2.4745000,8.0300000,0.0300000,-0.0300000,7.7487700,0.0001880,-0.0001880
HD 49674 b,HD 49674,1,1,Radial Velocity,2002,0,4.94737000,0.00098000,-0.00098000,0,0.060000,0.000000,0.000000,0,31.78300,3.17830,-3.17830,0,0.10000,0.01000,-0.01000,0,1.03,0.11,-0.11,0,43.0399000,0.0769000,-0.0766000,8.1000000,0.0300000,-0.0300000,7.9184100,0.0004230,-0.0004230
HD 50499 b,HD 50499,1,2,Radial Velocity,2005,0,2447.10000000,21.92000000,-21.72000000,0,3.833000,0.030500,-0.030000,0,519.96988,5.40311,-5.40311,0,1.63600,0.01700,-0.01700,0,1.25,0.02,-0.02,0,46.2845000,0.0557000,-0.0555000,7.2100000,0.0300000,-0.0300000,7.0564000,0.0002410,-0.0002410
HD 50499 c,HD 50499,1,2,Radial Velocity,2019,0,8619.90000000,2622.49500000,-405.42750000,0,9.020000,1.730000,-0.330000,0,931.24190,232.01590,-57.20940,0,2.93000,0.73000,-0.18000,0,1.31,0.07,-0.07,0,46.2845000,0.0557000,-0.0555000,7.2100000,0.0300000,-0.0300000,7.0564000,0.0002410,-0.0002410
HD 50554 b,HD 50554,1,1,Radial Velocity,2002,0,1293.00000000,37.00000000,-37.00000000,0,2.353000,0.045200,-0.045200,0,1859.29618,286.04557,-165.27077,0,5.85000,0.90000,-0.52000,0,1.04,0.01,-0.01,0,31.1664000,0.0556000,-0.0554000,6.8561000,0.0230000,-0.0230000,6.6978600,0.0004590,-0.0004590
HD 51608 b,HD 51608,1,2,Radial Velocity,2019,0,14.07260000,0.00160000,-0.00160000,0,0.105900,0.004300,-0.004600,0,12.77000,1.20000,-1.19000,0,0.04020,0.00380,-0.00370,0,0.80,,,0,35.0553000,0.0333000,-0.0331000,8.1700000,0.0300000,-0.0300000,7.9605800,0.0002790,-0.0002790
HD 51608 c,HD 51608,1,2,Radial Velocity,2019,0,95.94460000,0.15550000,-0.13660000,0,0.380900,0.015300,-0.016400,0,14.31000,1.63000,-1.53000,0,0.04500,0.00510,-0.00480,0,0.80,,,0,35.0553000,0.0333000,-0.0331000,8.1700000,0.0300000,-0.0300000,7.9605800,0.0002790,-0.0002790
HD 52265 b,HD 52265,1,1,Radial Velocity,2000,0,119.27000000,0.02000000,-0.02000000,0,0.520000,0.009000,-0.009000,0,384.57430,15.89150,-15.89150,0,1.21000,0.05000,-0.05000,0,1.20,,,0,29.9803000,0.0424000,-0.0423000,6.2935100,0.0230000,-0.0230000,6.1525700,0.0006094,-0.0006094
HD 5278 b,HD 5278,1,2,Transit,2021,0,14.33915600,0.00004900,-0.00004700,0,0.120200,0.001300,-0.001300,0,7.80000,1.50000,-1.40000,0,0.02454,0.00472,-0.00440,0,1.13,0.04,-0.04,0,57.5846000,0.0947000,-0.0943000,7.9400000,0.0300000,-0.0300000,7.8037500,0.0002700,-0.0002700
HD 5278 c,HD 5278,1,2,Radial Velocity,2021,0,40.87000000,0.18000000,-0.17000000,0,0.241600,0.002700,-0.002700,0,18.40000,1.80000,-1.90000,0,0.05789,0.00566,-0.00598,0,1.13,0.04,-0.04,0,57.5846000,0.0947000,-0.0943000,7.9400000,0.0300000,-0.0300000,7.8037500,0.0002700,-0.0002700
HD 5319 b,HD 5319,1,2,Radial Velocity,2007,0,637.10000000,1.40000000,-1.40000000,0,1.570000,0.110000,-0.110000,0,494.54348,13.34886,-13.34886,0,1.55600,0.04200,-0.04200,0,1.27,,,0,121.4050000,0.7075000,-0.7075000,8.0500000,0.0300000,-0.0300000,7.7723800,0.0002160,-0.0002160
HD 5319 c,HD 5319,1,2,Radial Velocity,2014,0,872.20000000,6.00000000,-6.00000000,0,1.930000,0.130000,-0.130000,0,334.67499,22.88376,-22.88376,0,1.05300,0.07200,-0.07200,0,1.27,,,0,121.4050000,0.7075000,-0.7075000,8.0500000,0.0300000,-0.0300000,7.7723800,0.0002160,-0.0002160
HD 55696 b,HD 55696,1,1,Radial Velocity,2018,0,1827.00000000,10.00000000,-10.00000000,0,3.180000,0.180000,-0.180000,0,1357.12730,317.82841,-219.30160,0,4.27000,1.00000,-0.69000,0,1.29,0.20,-0.20,0,77.9693000,0.1836000,-0.1827000,7.9500000,0.0300000,-0.0300000,7.8113500,0.0003210,-0.0003210
HD 5583 b,HD 5583,1,1,Radial Velocity,2016,0,139.35000000,0.21000000,-0.22000000,0,0.530000,0.020000,-0.020000,0,1837.05740,168.44990,-168.44990,0,5.78000,0.53000,-0.53000,0,1.01,0.10,-0.10,0,219.2160000,3.4830000,-3.3780000,7.6040000,0.0020000,-0.0020000,7.3076900,0.0003300,-0.0003300
HD 5608 b,HD 5608,2,1,Radial Velocity,2012,0,768.70000000,4.72000000,-1.67000000,0,1.790000,0.007000,-0.003000,0,371.22358,19.70536,-18.11622,0,1.16800,0.06200,-0.05700,0,1.29,0.23,-0.23,0,58.1105000,0.2209000,-0.2209000,6.0027200,0.0230000,-0.0230000,5.7269500,0.0016237,-0.0016237
HD 564 b,HD 564,1,1,Radial Velocity,2014,0,492.30000000,2.30000000,-2.30000000,0,1.200000,0.020000,-0.020000,0,104.88000,9.54000,-9.54000,0,0.33000,0.03000,-0.03000,0,0.96,0.05,-0.05,0,51.1659000,0.0941000,-0.0937000,8.3200000,0.0300000,-0.0300000,8.1707700,0.0002840,-0.0002840
HD 56414 b,HD 56414,1,1,Transit,2022,0,29.04992000,0.00021000,-0.00021000,0,0.229000,0.004000,-0.004000,0,13.30000,,,0,0.04180,,,0,1.89,0.11,-0.11,0,272.2170000,2.2070000,-2.1730000,9.2170000,0.0030000,-0.0030000,9.2047500,0.0003470,-0.0003470
HD 56957 b,HD 56957,1,1,Radial Velocity,2022,0,5859.08992000,2325.96289000,-959.68304000,0,6.426000,1.564000,-0.867000,0,1880.90851,915.02798,-1279.57717,0,5.91800,2.87900,-4.02600,0,1.03,0.13,-0.13,0,61.4925000,0.0942000,-0.0938000,7.5700000,0.0300000,-0.0300000,7.3984100,0.0001990,-0.0001990
HD 5891 b,HD 5891,1,1,Radial Velocity,2011,0,177.11000000,0.32000000,-0.32000000,0,0.640000,0.040000,-0.040000,0,2425.04290,454.49690,-454.49690,0,7.63000,1.43000,-1.43000,0,1.93,0.54,-0.54,0,283.5020000,4.8630000,-4.8630000,8.0900000,0.0300000,-0.0300000,7.7982500,0.0003160,-0.0003160
HD 59686 A b,HD 59686 A,2,1,Radial Velocity,2016,0,299.36000000,0.26000000,-0.31000000,0,1.086000,0.000600,-0.000700,0,2199.38360,57.20940,-76.27920,0,6.92000,0.18000,-0.24000,0,1.90,0.20,-0.20,0,89.2721000,0.7315500,-0.7315500,5.4429900,0.0230000,-0.0230000,5.1322800,0.0035591,-0.0035591
HD 60292 b,HD 60292,1,1,Radial Velocity,2020,0,495.40000000,3.00000000,-3.00000000,0,1.500000,0.100000,-0.100000,0,2065.89500,317.83000,-317.83000,0,6.50000,1.00000,-1.00000,0,1.70,0.20,-0.20,0,315.2110000,3.1480000,-3.0870000,6.9465700,0.0230000,-0.0230000,6.5323800,0.0001810,-0.0001810
HD 60532 b,HD 60532,1,2,Radial Velocity,2008,0,201.90000000,0.30000000,-0.30000000,0,0.770000,0.020000,-0.020000,0,336.89980,25.42640,-25.42640,0,1.06000,0.08000,-0.08000,0,1.50,0.09,-0.09,0,25.9716000,0.1577000,-0.1558000,4.4400000,0.0300000,-0.0300000,4.3079300,0.0039880,-0.0039880
HD 60532 c,HD 60532,1,2,Radial Velocity,2008,0,600.10000000,2.40000000,-2.40000000,0,1.600000,0.040000,-0.040000,0,797.75330,50.85280,-50.85280,0,2.51000,0.16000,-0.16000,0,1.50,0.09,-0.09,0,25.9716000,0.1577000,-0.1558000,4.4400000,0.0300000,-0.0300000,4.3079300,0.0039880,-0.0039880
HD 6061 b,HD 6061,2,1,Transit,2023,0,5.25490000,0.00110000,-0.00110000,0,0.060000,0.001000,-0.001000,0,10.00000,2.50000,-2.50000,0,0.03146,0.00787,-0.00787,0,1.03,0.03,-0.04,0,67.6203000,0.2053000,-0.2040000,8.8440000,0.0020000,-0.0020000,8.6993300,0.0004480,-0.0004480
HD 62364 b,HD 62364,1,2,Radial Velocity,2022,0,5138.00000000,24.00000000,-22.00000000,0,6.150000,0.040000,-0.030000,0,5965.63920,209.76675,-200.23190,0,18.77000,0.66000,-0.63000,0,1.16,0.03,-0.03,0,53.1120000,0.0743000,-0.0741000,7.3200000,0.0300000,-0.0300000,7.1814000,0.0002540,-0.0002540
HD 62364 c,HD 62364,1,2,Radial Velocity,2022,1,74839.94555000,8275.85573000,-6864.79047000,0,36.984000,2.957000,-2.793000,0,7923.46219,852.09796,-928.69461,0,24.93000,2.68100,-2.92200,0,1.19,0.16,-0.16,0,53.1120000,0.0743000,-0.0741000,7.3200000,0.0300000,-0.0300000,7.1814000,0.0002540,-0.0002540
HD 62509 b,HD 62509,1,1,Radial Velocity,2006,0,589.64000000,0.81000000,-0.81000000,0,1.640000,0.270000,-0.270000,0,731.00000,140.00000,-140.00000,0,2.30000,0.45000,-0.45000,0,2.00,0.10,0.00,0,10.3400000,0.0900000,-0.0900000,1.1251200,0.0230000,-0.0230000,,,
HD 62549 b,HD 62549,1,1,Radial Velocity,2022,0,14306.88519000,3762.35334000,-3219.89899000,0,11.842000,2.146000,-1.979000,0,2707.58020,665.21486,-330.54154,0,8.51900,2.09300,-1.04000,0,1.08,0.13,-0.13,0,49.3305000,0.1192000,-0.1186000,7.7200000,0.0300000,-0.0300000,7.5654200,0.0002010,-0.0002010
HD 63433 b,HD 63433,1,3,Transit,2020,0,7.10793840,0.00000660,-0.00000660,0,0.072000,0.001000,-0.001000,0,37.30000,9.60000,-9.60000,0,0.11736,0.03020,-0.03020,0,0.99,0.02,-0.03,0,22.4035000,0.0225000,-0.0225000,6.9203500,0.0230000,-0.0230000,6.7183100,0.0005290,-0.0005290
HD 63433 c,HD 63433,1,3,Transit,2020,0,20.54384700,0.00002100,-0.00002100,0,0.146000,0.003000,-0.003000,0,17.20000,10.30000,-9.30000,0,0.05412,0.03241,-0.02926,0,0.99,0.02,-0.03,0,22.4035000,0.0225000,-0.0225000,6.9203500,0.0230000,-0.0230000,6.7183100,0.0005290,-0.0005290
HD 63433 d,HD 63433,1,3,Transit,2023,0,4.20907500,0.00001200,-0.00002300,0,0.050300,0.002500,-0.002700,0,1.25000,,,0,0.00394,,,0,0.99,0.03,-0.03,0,22.4035000,0.0225000,-0.0225000,6.9203500,0.0230000,-0.0230000,6.7183100,0.0005290,-0.0005290
HD 63454 b,HD 63454,1,1,Radial Velocity,2005,0,2.81805000,0.00007100,-0.00007100,0,0.040000,0.000000,0.000000,0,79.45750,3.17830,-3.17830,0,0.25000,0.01000,-0.01000,0,0.42,0.03,-0.03,0,37.6894000,0.0280000,-0.0280000,9.3700000,0.0300000,-0.0300000,9.0540200,0.0004410,-0.0004410
HD 63765 b,HD 63765,1,1,Radial Velocity,2009,0,358.00000000,1.00000000,-1.00000000,0,0.940000,0.020000,-0.020000,0,168.44990,9.53490,-9.53490,0,0.53000,0.03000,-0.03000,0,0.65,0.01,-0.01,0,32.5376000,0.0328000,-0.0328000,8.1000000,0.0300000,-0.0300000,7.9098300,0.0002900,-0.0002900
HD 63935 b,HD 63935,1,2,Transit,2021,0,9.05880700,0.00001500,-0.00001500,0,0.083000,0.002000,-0.002000,0,10.50000,1.60000,-1.50000,0,0.03304,0.00503,-0.00472,0,0.94,0.03,-0.03,0,48.9739000,0.1057000,-0.1053000,8.5800000,0.0300000,-0.0300000,8.3935300,0.0002880,-0.0002880
HD 63935 c,HD 63935,1,2,Radial Velocity,2021,0,21.40270000,0.00180000,-0.00180000,0,0.148000,0.003000,-0.003000,0,11.10000,2.00000,-1.90000,0,0.03492,0.00629,-0.00598,0,0.94,0.03,-0.03,0,48.9739000,0.1057000,-0.1053000,8.5800000,0.0300000,-0.0300000,8.3935300,0.0002880,-0.0002880
HD 64114 b,HD 64114,1,1,Radial Velocity,2019,0,45.79100000,0.07000000,-0.07000000,0,0.246000,0.005000,-0.005000,0,17.80000,3.50000,-3.50000,0,0.05600,0.01101,-0.01101,0,0.95,0.05,-0.05,0,31.5262000,0.0410000,-0.0409000,7.7100000,0.0300000,-0.0300000,7.5258100,0.0002520,-0.0002520
HD 64121 b,HD 64121,1,1,Radial Velocity,2022,0,623.00000000,3.40000000,-3.40000000,0,1.510000,0.006000,-0.006000,0,813.64072,60.38740,-60.38740,0,2.56000,0.19000,-0.19000,0,1.64,0.06,-0.06,0,129.9660000,0.4870000,-0.4870000,7.4300000,0.0300000,-0.0300000,7.1787200,0.0002070,-0.0002070
HD 6434 b,HD 6434,1,1,Radial Velocity,2003,0,21.99800000,0.00900000,-0.00900000,0,0.140000,0.000000,0.000000,0,155.73670,12.71320,-12.71320,0,0.49000,0.04000,-0.04000,0,1.10,0.13,-0.13,0,42.3580000,0.0756000,-0.0752000,7.7200000,0.0300000,-0.0300000,7.5609000,0.0002230,-0.0002230
